ID,가격(백만원)
TEST_100,126.10017
TEST_101,27.91981
TEST_102,74.73563
TEST_103,40.063667
TEST_104,23.792812
TEST_105,22.485634
TEST_106,98.626656
TEST_107,101.770744
TEST_108,23.783005
TEST_109,34.59022
TEST_110,52.458313
TEST_111,34.02991
TEST_112,24.821402
TEST_113,24.8304
TEST_114,34.17821
TEST_115,19.118528
TEST_116,64.05256
TEST_117,117.97034
TEST_118,156.12918
TEST_119,47.955643
TEST_120,64.04491
TEST_121,37.409245
TEST_122,160.36217
TEST_123,60.95624
TEST_124,16.696865
TEST_125,37.695778
TEST_126,71.97731
TEST_127,80.033516
TEST_128,27.953093
TEST_129,80.80266
TEST_130,76.38313
TEST_131,17.653467
TEST_132,24.641382
TEST_133,39.934444
TEST_134,21.835981
TEST_135,80.038734
TEST_136,59.689762
TEST_137,63.99789
TEST_138,71.95325
TEST_139,27.996653
TEST_140,27.8439
TEST_141,55.836548
TEST_142,24.587097
TEST_143,72.6005
TEST_144,21.95764
TEST_145,74.00596
TEST_146,70.15693
TEST_147,27.861544
TEST_148,53.58641
TEST_149,65.44211
TEST_150,65.19895
TEST_151,130.53601
TEST_152,77.993195
TEST_153,37.788727
TEST_154,63.99961
TEST_155,151.21619
TEST_156,23.757906
TEST_157,65.53046
TEST_158,97.34542
TEST_159,80.87301
TEST_160,41.078007
TEST_161,60.667374
TEST_162,38.807785
TEST_163,53.842438
TEST_164,47.940548
TEST_165,72.30482
TEST_166,40.216553
TEST_167,126.29518
TEST_168,81.211784
TEST_169,151.17038
TEST_170,151.31277
TEST_171,97.429085
TEST_172,60.56941
TEST_173,38.725674
TEST_174,23.031809
TEST_175,22.845564
TEST_176,50.90826
TEST_177,47.682632
TEST_178,58.078457
TEST_179,23.75717
TEST_180,98.68363
TEST_181,159.26651
TEST_182,58.89313
TEST_183,21.864325
TEST_184,27.635612
TEST_185,38.85364
TEST_186,58.764984
TEST_187,37.409245
TEST_188,22.868633
TEST_189,27.83559
TEST_190,151.17038
TEST_191,24.663036
TEST_192,38.86621
TEST_193,97.90425
TEST_194,20.468746
TEST_195,79.178535
TEST_196,100.28327
TEST_197,47.913593
TEST_198,39.91345
TEST_199,22.897001
TEST_200,35.641563
TEST_201,99.183136
TEST_202,55.807518
TEST_203,58.74538
TEST_204,35.641563
TEST_205,23.043947
TEST_206,71.95325
TEST_207,57.963875
TEST_208,69.89342
TEST_209,35.624638
TEST_210,35.635723
TEST_211,156.07085
TEST_212,40.898838
TEST_213,100.1007
TEST_214,74.937035
TEST_215,21.850613
TEST_216,65.46735
TEST_217,80.07147
TEST_218,63.87004
TEST_219,47.65977
TEST_220,37.568893
TEST_221,46.798794
TEST_222,114.79371
TEST_223,160.55054
TEST_224,71.897095
TEST_225,37.71747
TEST_226,78.238434
TEST_227,58.764984
TEST_228,40.855408
TEST_229,69.64191
TEST_230,80.02738
TEST_231,80.029854
TEST_232,39.939156
TEST_233,155.9024
TEST_234,99.38875
TEST_235,34.8243
TEST_236,124.08948
TEST_237,53.60121
TEST_238,69.74688
TEST_239,83.61634
TEST_240,53.699287
TEST_241,100.27192
TEST_242,40.797268
TEST_243,59.692535
TEST_244,63.85564
TEST_245,80.01001
TEST_246,159.46382
TEST_247,120.872
TEST_248,80.09157
TEST_249,34.195217
TEST_250,40.82758
TEST_251,34.35768
TEST_252,126.040375
TEST_253,40.89311
TEST_254,64.35002
TEST_255,160.38185
TEST_256,22.414047
TEST_257,63.92585
TEST_258,73.936966
TEST_259,79.40033
TEST_260,130.61507
TEST_261,27.391033
TEST_262,27.954508
TEST_263,17.495419
TEST_264,23.778883
TEST_265,34.653744
TEST_266,121.10003
TEST_267,37.708965
TEST_268,64.21893
TEST_269,71.89526
TEST_270,40.954254
TEST_271,126.74693
TEST_272,27.996653
TEST_273,27.861292
TEST_274,17.652103
TEST_275,40.937836
TEST_276,65.497955
TEST_277,52.757534
TEST_278,47.738827
TEST_279,39.924973
TEST_280,23.779778
TEST_281,90.83367
TEST_282,77.6589
TEST_283,35.644688
TEST_284,121.16486
TEST_285,20.521963
TEST_286,27.989492
TEST_287,121.93444
TEST_288,124.93775
TEST_289,47.86125
TEST_290,34.598724
TEST_291,100.11445
TEST_292,27.391033
TEST_293,73.798775
TEST_294,64.26893
TEST_295,99.04336
TEST_296,27.899555
TEST_297,27.91981
TEST_298,38.728233
TEST_299,62.606926
TEST_300,34.560326
TEST_301,58.221638
TEST_302,40.861237
TEST_303,20.546495
TEST_304,83.189354
TEST_305,47.770775
TEST_306,126.36337
TEST_307,74.25894
TEST_308,39.90328
TEST_309,73.64611
TEST_310,34.342117
TEST_311,52.739414
TEST_312,63.841248
TEST_313,78.002075
TEST_314,100.448044
TEST_315,23.130884
TEST_316,38.804077
TEST_317,23.244642
TEST_318,100.3675
TEST_319,36.900253
TEST_320,97.92073
TEST_321,74.0767
TEST_322,54.53154
TEST_323,73.68074
TEST_324,97.45266
TEST_325,120.872
TEST_326,23.795645
TEST_327,69.7167
TEST_328,80.06593
TEST_329,23.698347
TEST_330,27.391033
TEST_331,159.15561
TEST_332,23.714354
TEST_333,38.837555
TEST_334,34.171852
TEST_335,100.243866
TEST_336,57.351532
TEST_337,47.069458
TEST_338,98.99397
TEST_339,64.483345
TEST_340,74.757935
TEST_341,34.811157
TEST_342,22.901062
TEST_343,39.93264
TEST_344,119.51057
TEST_345,100.19597
TEST_346,121.247635
TEST_347,21.861914
TEST_348,126.50385
TEST_349,58.21208
TEST_350,76.477615
TEST_351,80.06468
TEST_352,38.926834
TEST_353,39.07603
TEST_354,71.98749
TEST_355,93.34538
TEST_356,40.9552
TEST_357,24.818697
TEST_358,47.69219
TEST_359,100.06724
TEST_360,21.051834
TEST_361,21.510296
TEST_362,22.491055
TEST_363,40.030685
TEST_364,38.819496
TEST_365,35.653675
TEST_366,47.72139
TEST_367,88.05468
TEST_368,55.82579
TEST_369,79.516396
TEST_370,71.97731
TEST_371,100.06359
TEST_372,40.238358
TEST_373,35.624638
TEST_374,96.92355
TEST_375,120.73461
TEST_376,38.795006
TEST_377,40.886467
TEST_378,39.90328
TEST_379,20.655476
TEST_380,39.05946
TEST_381,22.504807
TEST_382,24.660625
TEST_383,73.978584
TEST_384,23.838411
TEST_385,40.849644
TEST_386,159.52847
TEST_387,39.95061
TEST_388,47.76758
TEST_389,64.022644
TEST_390,46.821064
TEST_391,64.18492
TEST_392,24.680712
TEST_393,126.040375
TEST_394,38.72816
TEST_395,59.964687
TEST_396,35.63463
TEST_397,93.502884
TEST_398,39.94368
TEST_399,28.206642
TEST_400,22.758652
TEST_401,99.01878
TEST_402,34.29813
TEST_403,16.338608
TEST_404,63.85486
TEST_405,38.949505
TEST_406,34.164787
TEST_407,100.15644
TEST_408,79.98118
TEST_409,58.90597
TEST_410,34.168526
TEST_411,65.05002
TEST_412,27.832813
TEST_413,64.88219
TEST_414,69.952965
TEST_415,59.66603
TEST_416,38.796104
TEST_417,40.838303
TEST_418,124.00128
TEST_419,130.64777
TEST_420,40.913353
TEST_421,99.24759
TEST_422,58.21208
TEST_423,28.004084
TEST_424,156.06783
TEST_425,65.0621
TEST_426,27.875439
TEST_427,60.07398
TEST_428,38.017555
TEST_429,80.1067
TEST_430,38.90219
TEST_431,63.746666
TEST_432,53.7041
TEST_433,17.35132
TEST_434,72.2114
TEST_435,23.12789
TEST_436,38.684814
TEST_437,80.01312
TEST_438,37.91584
TEST_439,78.026
TEST_440,75.56521
TEST_441,41.102066
TEST_442,99.79172
TEST_443,73.64498
TEST_444,74.02106
TEST_445,53.367867
TEST_446,34.159782
TEST_447,58.21208
TEST_448,63.786076
TEST_449,80.08356
TEST_450,83.16149
TEST_451,100.04648
TEST_452,16.560434
TEST_453,69.64915
TEST_454,57.367878
TEST_455,27.381508
TEST_456,50.807117
TEST_457,38.834644
TEST_458,27.962233
TEST_459,23.24446
TEST_460,22.411438
TEST_461,97.16555
TEST_462,34.540943
TEST_463,54.553158
TEST_464,79.165054
TEST_465,121.16486
TEST_466,50.9864
TEST_467,159.02155
TEST_468,80.076
TEST_469,39.93264
TEST_470,62.606407
TEST_471,47.90336
TEST_472,27.937365
TEST_473,38.824993
TEST_474,40.220284
TEST_475,35.62691
TEST_476,121.16486
TEST_477,59.661423
TEST_478,62.652473
TEST_479,65.45521
TEST_480,40.868298
TEST_481,60.704983
TEST_482,151.22466
TEST_483,77.6589
TEST_484,28.172712
TEST_485,53.60121
TEST_486,65.455246
TEST_487,69.68881
TEST_488,27.929848
TEST_489,23.120531
TEST_490,27.861292
TEST_491,38.77786
TEST_492,59.689564
TEST_493,60.002857
TEST_494,80.04663
TEST_495,40.143635
TEST_496,37.80244
TEST_497,77.60486
TEST_498,84.676216
TEST_499,100.06103
TEST_500,60.62546
TEST_501,130.60468
TEST_502,23.851538
TEST_503,74.014
TEST_504,74.72424
TEST_505,68.30804
TEST_506,160.10199
TEST_507,16.424263
TEST_508,79.93176
TEST_509,59.621536
TEST_510,50.87491
TEST_511,17.833057
TEST_512,38.72439
TEST_513,100.543976
TEST_514,59.66603
TEST_515,38.78837
TEST_516,63.719822
TEST_517,27.613947
TEST_518,74.32208
TEST_519,63.86329
TEST_520,69.71085
TEST_521,97.26217
TEST_522,19.693745
TEST_523,37.02486
TEST_524,47.62631
TEST_525,18.781887
TEST_526,73.98921
TEST_527,71.98832
TEST_528,64.159424
TEST_529,24.65186
TEST_530,124.08948
TEST_531,24.89969
TEST_532,126.9436
TEST_533,53.320816
TEST_534,159.11296
TEST_535,80.08224
TEST_536,34.192875
TEST_537,78.17782
TEST_538,79.76194
TEST_539,27.856533
TEST_540,126.040375
TEST_541,122.70284
TEST_542,22.475813
TEST_543,62.572178
TEST_544,64.85168
TEST_545,120.98316
TEST_546,72.29746
TEST_547,59.692123
TEST_548,23.035042
TEST_549,38.80167
TEST_550,21.866934
TEST_551,24.65186
TEST_552,40.78105
TEST_553,80.029854
TEST_554,23.317863
TEST_555,64.5375
TEST_556,100.35718
TEST_557,47.928642
TEST_558,22.44664
TEST_559,35.64921
TEST_560,80.060814
TEST_561,37.020535
TEST_562,20.585085
TEST_563,98.999146
TEST_564,28.15717
TEST_565,80.09157
TEST_566,74.059906
TEST_567,23.928059
TEST_568,22.811617
TEST_569,78.535385
TEST_570,59.647537
TEST_571,126.55331
TEST_572,27.953093
TEST_573,23.663916
TEST_574,35.65963
TEST_575,41.033623
TEST_576,80.08066
TEST_577,79.998665
TEST_578,118.51665
TEST_579,47.001278
TEST_580,28.01285
TEST_581,57.94944
TEST_582,27.967104
TEST_583,60.5746
TEST_584,74.71189
TEST_585,40.216553
TEST_586,63.978146
TEST_587,27.937365
TEST_588,21.858778
TEST_589,34.18271
TEST_590,160.10336
TEST_591,27.861107
TEST_592,115.24257
TEST_593,88.80314
TEST_594,27.977365
TEST_595,23.582687
TEST_596,35.656334
TEST_597,160.43907
TEST_598,159.03668
TEST_599,23.779778
TEST_600,38.942093
TEST_601,27.929848
TEST_602,22.284168
TEST_603,99.040565
TEST_604,20.468746
TEST_605,78.13111
TEST_606,60.550262
TEST_607,69.90419
TEST_608,34.171852
TEST_609,35.61471
TEST_610,156.01178
TEST_611,118.61955
TEST_612,80.062416
TEST_613,27.906345
TEST_614,23.789799
TEST_615,23.188896
TEST_616,37.568893
TEST_617,98.34379
TEST_618,79.96032
TEST_619,34.168526
TEST_620,59.71181
TEST_621,80.03575
TEST_622,123.0827
TEST_623,63.951687
TEST_624,40.070065
TEST_625,20.576843
TEST_626,35.656334
TEST_627,34.06315
TEST_628,34.349625
TEST_629,80.05314
TEST_630,40.913353
TEST_631,23.059103
TEST_632,23.117294
TEST_633,23.698347
TEST_634,40.12665
TEST_635,100.41338
TEST_636,22.580502
TEST_637,130.5999
TEST_638,80.078125
TEST_639,159.75499
TEST_640,159.46382
TEST_641,24.52452
TEST_642,72.15788
TEST_643,27.869425
TEST_644,17.642326
TEST_645,78.05175
TEST_646,73.60246
TEST_647,99.32929
TEST_648,47.64412
TEST_649,34.156857
TEST_650,80.01364
TEST_651,23.712534
TEST_652,18.117277
TEST_653,28.199335
TEST_654,78.079056
TEST_655,77.993195
TEST_656,38.725548
TEST_657,27.844503
TEST_658,23.250057
TEST_659,55.865776
TEST_660,69.63608
TEST_661,122.18452
TEST_662,65.478386
TEST_663,160.13452
TEST_664,47.682632
TEST_665,159.94083
TEST_666,59.577213
TEST_667,114.77618
TEST_668,38.795006
TEST_669,27.3767
TEST_670,80.08645
TEST_671,53.141346
TEST_672,54.553158
TEST_673,74.10053
TEST_674,40.923275
TEST_675,19.519669
TEST_676,130.64732
TEST_677,60.67336
TEST_678,83.55691
TEST_679,98.424225
TEST_680,100.30488
TEST_681,47.11593
TEST_682,28.415098
TEST_683,79.966896
TEST_684,37.414238
TEST_685,34.166393
TEST_686,39.973408
TEST_687,27.489597
TEST_688,59.85454
TEST_689,114.7753
TEST_690,64.124626
TEST_691,120.73461
TEST_692,23.188896
TEST_693,23.308884
TEST_694,74.07097
TEST_695,74.8755
TEST_696,100.22198
TEST_697,37.997463
TEST_698,34.560326
TEST_699,59.647537
TEST_700,84.71115
TEST_701,27.913395
TEST_702,38.954533
TEST_703,96.85922
TEST_704,125.019775
TEST_705,41.053284
TEST_706,72.46031
TEST_707,24.839909
TEST_708,38.80167
TEST_709,155.97276
TEST_710,160.04568
TEST_711,21.873571
TEST_712,63.98026
TEST_713,74.08775
TEST_714,27.937365
TEST_715,72.22314
TEST_716,127.103264
TEST_717,23.670729
TEST_718,40.96308
TEST_719,99.08371
TEST_720,99.37007
TEST_721,58.89313
TEST_722,60.57741
TEST_723,60.042145
TEST_724,37.409245
TEST_725,37.020535
TEST_726,40.811607
TEST_727,78.22837
TEST_728,36.7844
TEST_729,36.864925
TEST_730,75.65852
TEST_731,35.638245
TEST_732,23.122637
TEST_733,62.599575
TEST_734,24.726765
TEST_735,100.2724
TEST_736,46.88255
TEST_737,121.0867
TEST_738,40.861237
TEST_739,27.58596
TEST_740,27.855282
TEST_741,23.829657
TEST_742,18.29381
TEST_743,64.113686
TEST_744,34.995594
TEST_745,21.734484
TEST_746,71.95325
TEST_747,79.843575
TEST_748,69.68881
TEST_749,22.584734
TEST_750,63.85486
TEST_751,69.64191
TEST_752,78.218025
TEST_753,17.642326
TEST_754,90.82045
TEST_755,27.853119
TEST_756,83.42628
TEST_757,52.54766
TEST_758,120.74395
TEST_759,34.156857
TEST_760,39.963017
TEST_761,47.00699
TEST_762,46.81809
TEST_763,28.395842
TEST_764,73.85057
TEST_765,100.077354
TEST_766,155.92639
TEST_767,65.01338
TEST_768,22.919401
TEST_769,90.904526
TEST_770,34.59022
TEST_771,27.857256
TEST_772,34.12145
TEST_773,21.748186
TEST_774,40.070065
TEST_775,34.017246
TEST_776,46.96145
TEST_777,96.81386
TEST_778,22.410286
TEST_779,72.3335
TEST_780,27.614445
TEST_781,63.725494
TEST_782,118.4344
TEST_783,17.723635
TEST_784,160.17828
TEST_785,64.52379
TEST_786,63.844177
TEST_787,126.83888
TEST_788,79.89624
TEST_789,74.94876
TEST_790,60.07398
TEST_791,22.86724
TEST_792,160.24629
TEST_793,151.23578
TEST_794,94.28122
TEST_795,118.5373
TEST_796,55.82579
TEST_797,22.783941
TEST_798,21.784847
TEST_799,47.91705
TEST_800,23.187475
TEST_801,64.885254
TEST_802,37.55201
TEST_803,28.002676
TEST_804,100.25841
TEST_805,47.940548
TEST_806,24.797918
TEST_807,63.757046
TEST_808,65.45521
TEST_809,100.08252
TEST_810,155.9127
TEST_811,37.773827
TEST_812,160.08145
TEST_813,83.236465
TEST_814,28.178604
TEST_815,59.716335
TEST_816,24.671122
TEST_817,27.548447
TEST_818,155.9127
TEST_819,100.19743
TEST_820,22.865152
TEST_821,27.573265
TEST_822,74.29987
TEST_823,34.212788
TEST_824,64.950226
TEST_825,53.826115
TEST_826,37.773827
TEST_827,37.050423
TEST_828,126.63546
TEST_829,151.3437
TEST_830,22.420414
TEST_831,121.10003
TEST_832,115.2204
TEST_833,35.635723
TEST_834,34.802673
TEST_835,79.516396
TEST_836,59.944946
TEST_837,58.247204
TEST_838,100.20545
TEST_839,47.932114
TEST_840,23.118084
TEST_841,151.29056
TEST_842,38.79271
TEST_843,38.815777
TEST_844,58.79585
TEST_845,22.483849
